Flavor Intensity,Texture Complexity,Spice Profile[0:Mild 1:Medium 2:Balanced 3:Spicy],Freshness Index,Culinary Technique Score,Aroma Richness[0:Low 1:High 2:Moderate 3:Very High],Tastiness
7,5,1,9,9,2,10.584000000000005
7,2,1,7,6,1,-4.316999999999997
10,4,1,7,7,1,-9.644000000000004
9,5,2,6,10,1,0.3420000000000004
9,2,1,6,7,0,-11.602
10,3,3,8,10,1,-6.294000000000002
9,1,1,8,9,1,-8.627000000000004
7,5,0,7,6,2,3.0830000000000037
10,3,1,9,9,2,-6.669000000000004
8,2,0,7,9,1,-3.1850000000000005
6,3,2,6,7,1,2.3610000000000024
7,5,2,7,7,3,3.806000000000004
10,5,3,7,6,2,-9.660999999999998
10,5,3,7,10,1,-2.5319999999999983
6,3,3,7,9,3,5.808000000000003
10,3,0,6,6,0,-14.518
7,3,2,6,8,0,0.4890000000000043
6,1,1,8,8,0,2.3490000000000038
7,3,3,8,6,1,-0.792999999999994
7,3,3,9,7,1,2.2350000000000065
9,5,0,9,9,3,2.2020000000000013
10,2,1,8,7,3,-14.432
9,3,0,7,9,3,-5.681999999999997
9,4,2,8,9,3,-2.158
9,1,2,9,9,0,-6.949000000000002
7,1,2,6,9,2,-4.018999999999995
7,3,1,8,10,1,6.241000000000005
7,4,1,7,7,2,1.9600000000000024
6,1,0,6,8,3,-1.7289999999999979
9,1,2,8,10,1,-7.182
6,2,0,6,8,0,2.378
10,3,3,9,8,2,-8.741000000000003
8,5,2,10,7,0,5.428000000000004
10,2,0,7,8,1,-12.916999999999996
6,5,3,10,10,0,18.259
8,1,3,6,9,2,-8.266999999999996
7,1,1,9,8,1,-0.8289999999999936
9,4,3,6,7,2,-7.91
9,3,2,10,10,1,0.7020000000000034
8,5,0,7,6,2,-0.955999999999998
8,5,2,7,10,1,5.755000000000003
6,4,1,9,10,1,14.222000000000003
8,2,0,6,8,2,-6.725999999999999
9,5,2,7,10,2,1.203000000000001
7,1,1,8,7,0,-3.343999999999994
9,2,1,8,9,2,-6.571999999999999
10,1,3,9,8,2,-13.877000000000006
8,2,0,7,8,3,-5.865
9,3,1,6,6,1,-11.200999999999999
7,4,1,7,7,1,2.4730000000000025
8,2,1,7,7,2,-7.214999999999996
10,3,0,6,9,1,-10.069
8,4,1,7,6,0,-2.706999999999999
8,4,0,8,7,1,0.017000000000001125
