Flavor Intensity,Texture Complexity,Spice Profile[0:Mild 1:Medium 2:Balanced 3:Spicy],Freshness Index,Culinary Technique Score,Aroma Richness[0:Low 1:High 2:Moderate 3:Very High],Tastiness
8.5,4.2,2,9,7.8,1,0.792682927
7.2,3.5,1,8.2,6.5,2,0.692682927
9,4.8,3,9.5,8.5,3,0.92195122
6.8,3,1,7.5,6.2,0,0.597560976
8.3,4.5,2,8.8,7,1,0.770731707
7.5,3.8,0,8,6.8,2,0.685365854
9.2,5,3,9.8,8.7,3,0.943902439
6.5,2.8,1,7,6,0,0.568292683
8,4,2,8.5,7.2,1,0.748780488
7,3.2,0,8.2,6.5,2,0.656097561
9.5,5,3,9.9,8.9,3,0.958536585
6.2,2.5,1,6.8,5.8,0,0.543902439
8.7,4.7,2,9.2,7.5,1,0.807317073
7.8,3.9,0,8.3,7,2,0.707317073
9.3,4.9,3,9.7,8.8,3,0.943902439
6,2.5,1,6.5,5.5,0,0.524390244
8.5,4.3,2,8.9,7.3,1,0.780487805
7.3,3.6,0,8,6.7,2,0.673170732
9.1,4.8,3,9.6,8.6,3,0.929268293
6.7,3,1,7.3,6,0,0.585365854
8.2,4.2,2,8.7,7.1,1,0.76097561
7.6,3.7,0,8.2,6.8,2,0.690243902
9.4,5,3,9.8,8.9,3,0.953658537
6.5,2.9,1,7,6.2,0,0.575609756
8.8,4.5,2,9,7.4,1,0.797560976
7.9,4,0,8.4,7.2,2,0.719512195
9.2,4.9,3,9.7,8.7,3,0.93902439
6.3,2.7,1,6.9,5.9,0,0.556097561
8.6,4.4,2,8.8,7.2,1,0.780487805
7.4,3.8,0,8.1,6.6,2,0.680487805
9,4.7,3,9.5,8.5,3,0.919512195
6.9,3.1,1,7.4,6.3,0,0.602439024
8.4,4.1,2,8.6,7,1,0.758536585
7.7,3.5,0,8,6.9,2,0.685365854
9.5,5,3,9.9,8.8,3,0.956097561
6.6,3,1,7.1,6.1,0,0.580487805
8.9,4.6,2,9.1,7.6,1,0.809756098
7.8,4,0,8.3,7.1,2,0.712195122
9.3,4.8,3,9.7,8.8,3,0.941463415
6.1,2.6,1,6.7,5.7,0,0.53902439
8.7,4.3,2,9,7.4,1,0.790243902
7.5,3.6,0,8.1,6.8,2,0.682926829
9.1,4.9,3,9.6,8.6,3,0.931707317
6.8,3.2,1,7.3,6.2,0,0.597560976
8.3,4.4,2,8.7,7.1,1,0.768292683
7.6,3.9,0,8.4,7,2,0.704878049
9,4.5,3,9.4,8.3,3,0.907317073
6.7,3.1,1,7.2,6.1,0,0.587804878
8.1,4.2,2,8.6,7.2,1,0.758536585
7.3,3.5,0,8,6.9,2,0.675609756
